item_name,date,author,message,month,sha,year
BraDypUS,2014-03-30T16:44:22Z,Julian Bogdani,Minor code cleaning,03,5dec0538141fcc840f21330b2eeadfdc67d4ab53,2014
BraDypUS,2014-04-27T17:58:44Z,Julian Bogdani,"3.1.26 Bug fixed with record::showResults method, ignoring select_one parameter",04,2bc9944b23fea617fb24e8432d4dd948a49e8ca6,2014
BraDypUS,2014-05-18T18:11:00Z,Julian Bogdani,3.2.1 Bug fixed with user data editing module,05,7babdd3db2d877fdad354393530a89b22285cc54,2014
BraDypUS,2014-06-22T18:09:34Z,Julian Bogdani,3.2.3 - Bug fixed with user template setting,06,b9cbf0507121998e2943ee18a7e1143fe123c2ed,2014
BraDypUS,2014-07-29T09:43:07Z,Julian Bogdani,v 3.2.9 -Bug fixed with javascript compressing tool,07,e5c5185e27afd52bae95a7ac83e1640e243f905f,2014
BraDypUS,2014-08-12T15:26:21Z,Julian Bogdani,v 3.2.9: Bug fixed with vocabularies link in main page,08,6b09aa29d50253da40edda128f4eb8108015b2ef,2014
BraDypUS,2014-10-12T11:23:16Z,Julian Bogdani,3.2.10: API accepts new optional GET parameter: records_per_page (default value: 30),10,8ebd8bd7c4a3d52efe5c654121f551ba80341c15,2014
BraDypUS,2014-12-17T13:30:18Z,Julian Bogdani,3.3.0: Removed composer vendor folder,12,622b3423a7d3c2d98f5770411bc3b55577df0c62,2014
BraDypUS,2015-01-21T12:11:44Z,Julian Bogdani,3.3.0: Added support for Italian in getIP module (windows only),01,25398d87985ff68b2bfa3c2b45d97254cbf6b804,2015
BraDypUS,2015-07-12T10:38:06Z,Julian Bogdani,3.3.2: Inline docs enhancement,07,752b2df8e8614069eed0a901d57e23381201a3f3,2015
BraDypUS,2015-12-27T14:19:40Z,Julian Bogdani,v. 3.3.4: Minor graphical improvements in Geodata Import Module,12,fae48ec1e4c0f1a7b3458e915f5787e50ef8f8cf,2015
BraDypUS,2016-02-03T14:47:54Z,Julian Bogdani,v. 3.3.6: Session files older than 24h will be deleted on logout,02,559a610a01d22e642ec79913cf98435f566ea528,2016
BraDypUS,2016-03-14T13:42:47Z,Julian Bogdani,Minified js and css are refer to main version number when loaded,03,8f3713333b89cfe56818cf9684a8f4a2d5a95ea8,2016
BraDypUS,2016-04-02T12:38:14Z,Julian Bogdani,Fixed minor graphical issue: image thumbnails without proper margin,04,7be43713c811317315e4f0608e2396300cf1217e,2016
BraDypUS,2016-05-26T08:15:23Z,Julian Bogdani,Javascript & CSS minification for v.3.3.9,05,ab05e15076029e5c2504c5152d6fd7efff36fede,2016
