item_name,date,author,message,month,sha,year
ExtendedMatrix,2022-02-15T05:20:55Z,zalmoxes-laran,Create .gitignore,02,5a6737199bf4759ad4d655693f10cbc572827622,2022
ExtendedMatrix,2022-03-09T10:53:06Z,zalmoxes-laran,Create .gitignore,03,638282b62ad729c0c6e67f0f945a9804b287f1e7,2022
ExtendedMatrix,2022-05-25T13:37:56Z,zalmoxes-laran,updating charts C and E,05,b37d36e868862af3f9a4716086fb4e228ea71e5c,2022
ExtendedMatrix,2022-09-21T15:10:18Z,filipposala91,USM_ICCD_Update,09,7effe0500591c43e13a96f0a2a04be327c4be42d,2022
ExtendedMatrix,2022-10-27T18:44:46Z,zalmoxes-laran,changed names,10,29c397f074641f4757e925d96298f6b2884a7580,2022
ExtendedMatrix,2023-01-24T10:40:53Z,zalmoxes-laran,Added stable version of EMdb USM and USV,01,e1fc2816fe70264e66f9ed834d48b67c191a912c,2023
ExtendedMatrix,2023-02-27T20:48:43Z,zalmoxes-laran,Update EM-blender-tools_1.40dev3.zip,02,35dfbd854a12285f4ba0bc01e36a08de81f67a84,2023
ExtendedMatrix,2023-03-06T16:40:47Z,zalmoxes-laran,Create EM-blender-tools_1.40dev4.zip,03,7ca0543df05c234b00445e61d4e49c96aaec6471,2023
ExtendedMatrix,2023-07-15T14:59:53Z,Emanuel Demetrescu,Update README.md,07,9bb062508c8e70760211a6c11014e9326125e489,2023
ExtendedMatrix,2024-04-16T07:36:00Z,zalmoxes-laran,correct name space,04,86d9d7468d16d46cd51094923151b41d436276ef,2024
ExtendedMatrix,2024-06-06T09:09:36Z,Emanuel Demetrescu,Palette 1.4dev2,06,8300a124701a1bb8328ece7cc0fab4674f694b39,2024
ExtendedMatrix,2024-10-15T17:33:07Z,Emanuel Demetrescu,Merge pull request #3 from zalmoxes-laran/EM1.4dev,10,36bd8cbc5d1d8b55df4bc155f5e666d57a7b0697,2024
