item_name,date,author,message,month,sha,year
The ABM in Archaeology Bibliography,2017-09-29T13:53:35Z,ArchoLen,Update README.md,09,b5021741e4e5e5545842e2ea6f79675cccd49315,2017
The ABM in Archaeology Bibliography,2017-10-25T09:41:25Z,ArchoLen,Update README.md,10,b1d38ba30e3d292576e22ca1c2bc12f7491adef4,2017
The ABM in Archaeology Bibliography,2017-11-16T09:25:38Z,ArchoLen,Merge pull request #2 from josemagalan/master,11,90ffe37a6e7fad2a398bfa55f6ac4edf8d543410,2017
The ABM in Archaeology Bibliography,2018-01-17T16:43:14Z,ArchoLen,moved a paper to a diffrent section,01,705b7358981d3880ba13132c0ed7fb3006df0ade,2018
The ABM in Archaeology Bibliography,2018-03-26T12:00:17Z,ArchoLen,Merge pull request #3 from benoitgaudou/patch-1,03,27d23553a77bdb37f19759d41f5bf1cc3d3d7d56,2018
The ABM in Archaeology Bibliography,2018-07-12T11:11:27Z,izaromanowska,new papers,07,66403b53adca0a3b901899752fab42e3d6c7b0e3,2018
The ABM in Archaeology Bibliography,2018-08-10T14:13:15Z,izaromanowska,paper added,08,f7bca09ba235a58056e6a83c7aa4a2490b809dd9,2018
The ABM in Archaeology Bibliography,2018-10-22T08:35:39Z,ArchoLen,Merge pull request #5 from bocinsky/patch-2,10,719cf08ae5ea29a01f4482f8a6490eb42860c450,2018
The ABM in Archaeology Bibliography,2019-04-08T12:58:56Z,ArchoLen,Merge pull request #7 from isakro/master,04,9b56ee94521861f88e8e8072c3dabd823446f522,2019
The ABM in Archaeology Bibliography,2019-07-23T08:10:51Z,ArchoLen,Merge pull request #8 from cgravelm/patch-1,07,7e92931d37a6f4e6a3f36628d9a6eccc9dc40054,2019
The ABM in Archaeology Bibliography,2020-01-24T11:42:52Z,Iza Romanowska,update,01,f2dfb7bd6a936b5ebd60c4eda55697acb6a10876,2020
The ABM in Archaeology Bibliography,2021-01-20T09:41:34Z,ArchoLen,Merge pull request #9 from theogeorgios/patch-1,01,264e88fdd1a91870fbf8078239248529608460b2,2021
