item_name,date,author,message,month,sha,year
arches,2016-01-28T23:58:21Z,Adam Lodge,clean out unnecessary models,01,62d6d2ef72534f1b2aff7ff7afe1d396a7a5997a,2016
arches,2016-02-29T23:38:29Z,Alexei Peters,make the widget file field a fixed location,02,c490a0ad0f0aa60ff920ae353eb763f99288a6ac,2016
arches,2016-03-31T21:29:14Z,Rob Gaston,slight adjustment to node form title,03,dda91daff456c3d8901b906067b6a73c8c769fe4,2016
arches,2016-04-30T05:49:16Z,Alexei Peters,fix broken build,04,a9766444b40ee3fda7fe4ce0a32071740c2f011f,2016
arches,2016-05-31T23:50:12Z,Rob Gaston,demo of external ko component template,05,ea4bdb8c5b05878f6af76a7e0d6c994183e909ce,2016
arches,2016-06-30T22:11:03Z,Alexei Peters,"fix broken test, re #586",06,fd92e2c8d9a1fd172aac85fb5eb881dc3d60c36c,2016
arches,2016-07-30T00:06:15Z,Alexei Peters,"remove cardinality title attribute for card containers, re #623",07,3845ef894c14557ecc79799e8c2dabfac2c59757,2016
arches,2016-08-31T22:30:45Z,Rob Gaston,Merge pull request #760 from archesproject/card_graph_bugs,08,07c6b3cdd30dd7c26874aa4e3403f688f8cc6600,2016
arches,2016-09-30T23:14:24Z,chiatt,Merge pull request #852 from archesproject/723_geom_widget,09,cd620370829a88a5579e03336bbd409a59298e3c,2016
arches,2016-10-31T22:51:19Z,Alexei Peters,Merge branch 'master' into 997_primary_name_function,10,1068643fa904c38388cb8dcd5dc6e73854585da1,2016
arches,2016-11-30T23:57:32Z,Cyrus Hiatt,updated jquery-mask-plugin and changed value data bindings to textInput re #1216,11,e6d04f1c7249e82325fa74eedc55a39ee142d327,2016
arches,2016-12-31T18:52:11Z,dwuthrich,Merge pull request #1416 from archesproject/UI,12,c2a25060b6452c09d438d84a17715fa61fa5d28c,2016
arches,2017-01-31T21:35:27Z,Rob Gaston,Merge pull request #1534 from archesproject/indexing_vw_getgeoms,01,5cdac6af0e972ccd9901207ce65e6170a00aa7c2,2017
arches,2017-02-28T23:01:28Z,Cyrus,"Removed some settings in settings.py-tpl that are already defined in settings.py, re #1662",02,a8875ee5b51fa9ec1d3b96cab7b6913e6324b856,2017
arches,2017-03-31T18:27:44Z,chiatt,Merge pull request #1919 from archesproject/1738_xychart_widget,03,a9f0fbb3dccdc40b4bf8852655b11387efb3ea6a,2017
arches,2017-04-29T00:30:17Z,Rob Gaston,more work on advanced search,04,3bc0a6d18fdfc2bb7af320f4006538184f240368,2017
arches,2017-05-31T22:55:48Z,chiatt,Merge pull request #2094 from archesproject/346_map_settings,05,9e2efa74a6881d1f0de87a635f1ab398455462c7,2017
arches,2017-06-30T21:06:38Z,Ryan Anderson,Merge pull request #2203 from archesproject/1866_clear_date_widget,06,1666170655f7bb68aac44ae92860a678348bdf72,2017
arches,2017-07-31T23:37:56Z,Cyrus Hiatt,"#re 2300, Added statement to change the relationship type from a Value FK to string.",07,c4292a3d2cf19e2a33383b886366df44b6c2fe89,2017
arches,2017-08-31T23:37:04Z,Alexei Peters,"add code comments, re #2307",08,1a1486cdfefa7dd464b8e0c5f2d3005c4e8bcbcc,2017
arches,2017-09-30T21:49:39Z,dwuthrich,Merge pull request #2477 from archesproject/pre_401_UI_fixes,09,682f49a46656b6c5d05803cf9a58d6b55f1a8c2a,2017
arches,2017-10-31T23:50:38Z,Cyrus Hiatt,Formatting user info in project panel. re #2581,10,728e57f0b6729132bda96813cb5edc436602c302,2017
arches,2017-11-30T06:07:13Z,Alexei Peters,Merge pull request #2795 from archesproject/2751_es_index_updates,11,fdbd1eb5153818bf70bfed5758aa998834d4efee,2017
arches,2017-12-30T00:58:02Z,Cyrus Hiatt,Updates domain_connections when user switches nodes and prevents unnecessary ajax requests. re #2682,12,5c361f8b6875d0687623862cf6b53cd414b3b2e1,2017
arches,2018-01-31T23:36:01Z,Cyrus Hiatt,Merge pull request #2995 from archesproject/2883_v4.1.x_map_widget_config_dropdown_indicators,01,2a021a42688ec47ae17a06bb95c1254107f499ed,2018
arches,2018-02-28T20:55:55Z,dependabot[bot],Bump psycopg2 from 2.7.3.2 to 2.7.4 in /arches/install,02,7cf194a312266762216bcb38d4f911c09314de64,2018
arches,2018-03-31T00:05:45Z,Cyrus Hiatt,Merge pull request #3172 from archesproject/3147_save_resource_tiles_to_couch,03,b0b5c9e7e83ae6dbcdbeebcdf909baf8d725e7da,2018
arches,2018-04-30T22:53:21Z,Alexei Peters,"update error handling in the graph model and designer, re #3201",04,7b7c5d177d095ff4d590b7308a3a4b0f6ebae00d,2018
arches,2018-05-31T22:36:58Z,Cyrus Hiatt,Update 4.1.0.md,05,c815f012eb8f4ef4ba29797eba73a11ccb542b66,2018
arches,2018-06-30T06:04:45Z,Dennis Wuthrich,update graph settings crm root class select2 widget,06,00369fe10e59760297660c83315bee10ef965550,2018
arches,2018-07-31T22:01:14Z,Cyrus Hiatt,Tests the provisional edit manager.,07,b80bbe206862a10368a7531cd4bef12838e75d59,2018
arches,2018-08-30T16:09:47Z,Rob Gaston,Merge pull request #4078 from archesproject/master,08,6cc1a67eedb7b3a6222b01efbf888b0e54cb1ffa,2018
arches,2018-09-28T20:21:16Z,Alexei Peters,Merge pull request #4148 from archesproject/4147_enable_oauth_on_mobile_client,09,49d6899dc9a82957a26a55389de1834194fc9ce3,2018
arches,2018-10-31T21:12:22Z,Jeffrey Munowitch,Merge pull request #4270 from archesproject/4161-Couch-to-postgres,10,777aaaa469f1ed48caff0a5ef1006102355df322,2018
