item_name,date,author,message,month,sha,year
caa,2021-06-23T13:44:13Z,Martin Hinz,rerendered again,06,8a21d8a1637796e4f3df93cd66792097ef3501de,2021
caa,2021-08-06T13:32:30Z,Martin Hinz,and rendered...,08,368bd053f34a91b24850cdc22095279d57a7c37e,2021
caa,2021-09-29T16:38:41Z,Martin Hinz,added video link for session 02,09,30103471ad1e4271acbe33c9f5dd2090d1bc356e,2021
caa,2021-10-28T14:23:33Z,Martin Hinz,added 06,10,78b7ef83c2c96110073a4cefa7edc6e8a57e0d2b,2021
caa,2021-11-23T09:55:34Z,Martin Hinz,rerendered site,11,c76c4c09c416fae2a9b383861edf88f8ecb0b68a,2021
caa,2021-12-09T16:54:40Z,Martin Hinz,added video links to syllabus and reknitted,12,ff95086c1f29405b60b3a1ab48cf7b724fdb632a,2021
caa,2023-08-05T14:34:21Z,Martin Hinz,updated to 2023,08,64b90163fad3aa417bcb946f3b27a7bb9cd792a3,2023
caa,2023-09-20T06:59:21Z,Martin Hinz,added project sites to additional information,09,e1036034fa6d8a5820de1a441e2fd4425c0575b8,2023
caa,2023-10-04T06:51:51Z,Martin Hinz,made all slides self-contained,10,26ec61f544733e48355b5df8fdca9708dcf091da,2023
caa,2023-11-15T12:31:17Z,Martin Hinz,added video about update queries,11,b96b3fe96d026cc76eff8f59f4e72aa59ae980a4,2023
