item_name,date,author,message,month,sha,year
crom,2016-12-21T20:43:01Z,Rob Sanderson,Merge pull request #4 from gri-is/rob,12,cfb5ee441bb7e70fc045f6a148c8964ed6638ad4,2016
crom,2017-01-25T16:57:22Z,Rob Sanderson,Merge pull request #10 from gri-is/theft,01,7180daa1817424f4ef9cd6a6f86ad2d326279186,2017
crom,2017-02-28T00:33:37Z,Rob Sanderson,remove unnecessary dimension test,02,b3a02245fdd291cf4fba3d3a46a499d07118eb08,2017
crom,2017-03-19T01:43:24Z,Rob Sanderson,related in extra,03,d3daa4d1a0dabbee436d62b1daf7fd7d5fea03f9,2017
crom,2017-04-28T16:52:01Z,Rob Sanderson,remove test debug,04,5284e475a61609aa1b569813cad5ef1d6236e19c,2017
crom,2017-06-29T22:46:07Z,Rob Sanderson,Merge pull request #19 from gri-is/magic_list,06,68a252c40cfd907c42383431aae0c712e5f31c6d,2017
crom,2017-07-05T22:23:53Z,Rob Sanderson,Add package data,07,a15de491986f49d69c7e695b0938ba88b5b51593,2017
crom,2017-08-09T15:53:15Z,Rob Sanderson,Make component not a warning (rights shares),08,d83392c15d04768b19e91ae62ef1536506234a85,2017
crom,2017-09-05T23:01:17Z,Rob Sanderson,"Fix some tests, add effective predicates, P106 to includes/included_in",09,450c2ccca59b7481a8de9910b7a0eb3fedac12c3,2017
crom,2018-01-22T19:55:56Z,Rob Sanderson,unrecurse definitino,01,ad1634817f459462c3e51eb471b3a6825c4259c0,2018
crom,2018-02-12T20:16:51Z,Rob Sanderson,upates,02,a8ff0c34e856d52ae6a14c1e113feb45ea184715,2018
crom,2018-03-23T17:36:54Z,Rob Sanderson,version bump,03,d81cbceed3eff5e3fb1bd0799564f237e2807e88,2018
crom,2018-04-13T21:08:03Z,Rob Sanderson,"Nationality, Gender --> Aggregations",04,d5beaa76e2b2b019269aae80abd42ef8d7b06f58,2018
crom,2018-06-22T23:41:54Z,Rob Sanderson,move technique in data/ contexts,06,3d415199b62a8df59e81b11a0f99ad05eda5cc3e,2018
crom,2018-07-31T22:17:40Z,Rob Sanderson,remove errant _,07,4bdcfd1c76133a1b32003e3a6da3a3a929edb9d2,2018
crom,2018-08-31T23:30:34Z,Rob Sanderson,more tweaks to context files,08,2ddb84bd9bd640adc7c9f8b0d25d1b8d732678a5,2018
crom,2018-09-28T22:57:40Z,Rob Sanderson,"Update docs, bump version",09,b3f83b1b91d08039febdb168930c98fe03ce7d84,2018
crom,2018-10-03T20:12:49Z,Rob Sanderson,Allow unordered representation,10,728e8b65ddd64b34e1d4a9045d011af0fb8f632d,2018
