item_name,date,author,message,month,sha,year
currycarbon,2021-06-29T19:23:09Z,Clemens Schmid,Update README.md,06,1c7ad7ac5adb8611ee098359a2cdac5e0e55c354,2021
currycarbon,2021-07-07T09:53:02Z,Clemens Schmid,changed the date input interface once more,07,5954d62ca90281ea7b7d1105d7a513056deb68db,2021
currycarbon,2021-08-29T14:45:34Z,Clemens Schmid,made --hdrFile output a lot more machine-readable,08,a6adadfd4a0e546b425e30480dde0c78f5825399,2021
currycarbon,2021-09-06T17:08:00Z,Clemens Schmid,Merge pull request #6 from nevrome/bchron,09,f25f0c2b85dd8a95ffaa42f982878ce58311117a,2021
currycarbon,2021-10-17T11:22:22Z,Clemens Schmid,version bump,10,97c66cc326466e80d6c2ea4d84483b0ccb11edca,2021
currycarbon,2021-11-18T20:56:03Z,Clemens Schmid,bumped version,11,aa901f0448235e1f6374aa77de96c9cb27a5a2d7,2021
currycarbon,2022-01-16T19:13:32Z,Clemens Schmid,missing symbol,01,e2c3e1648e5e79c70151493c5c1aac463f01ec51,2022
currycarbon,2022-02-28T22:56:17Z,Clemens Schmid,first draft of a solution for the previously imprecise handling of BP vs. BCAD dates,02,46a161c2609727df395a07c210d5865dbef77082,2022
currycarbon,2022-03-15T21:16:44Z,Clemens Schmid,updated README,03,326de3ae24062fdd1d1ce52739d7ea7cbcb15f31,2022
currycarbon,2022-05-31T09:45:14Z,Clemens Schmid,completed the definition of CalPDF as Monoid - at least theoretically - let's see if this holds up with practical applications,05,bc1d9b8d1a60978b9cb14e4fd4269dbb6cc38dd5,2022
currycarbon,2022-06-29T09:32:09Z,Clemens Schmid,update of README,06,bb990805681c82012159293675a9973dc9592046,2022
currycarbon,2022-07-26T21:34:16Z,Clemens Schmid,added a number of slides,07,3e3d944d5d792c04aae48793795809246642e7bd,2022
currycarbon,2022-08-10T12:07:39Z,Clemens Schmid,added a link to stackage for the README,08,692b842f899d12f7d8500e04a010d2f899cccff9,2022
currycarbon,2023-09-06T13:53:05Z,Clemens Schmid,ignore release packages,09,d1147dcbaf7c0d08717d997ca9ca062e76ea1728,2023
currycarbon,2023-11-30T15:22:34Z,Clemens Schmid,found an issue in the golden test setup and reworked it to fix taht,11,3393a7117fdb5857a12b49d8e1f2971513688f39,2023
currycarbon,2023-12-07T12:23:22Z,Clemens Schmid,the golden test data has hardcoded version numbers which needed updating,12,4d48a4fe461b7e81626f95f7a0b5cfc4638f48e1,2023
currycarbon,2024-02-06T14:13:59Z,Clemens Schmid,codecov action update,02,ac0313f1be50e40207165509aafa65564de56292,2024
currycarbon,2024-04-30T08:38:46Z,Clemens Schmid,Merge pull request #20 from nevrome/dependabot/github_actions/8c6794b6/hpc-codecov-action-4,04,864dd9e3b575d8a66c41093fac8cccb42b587b5e,2024
currycarbon,2024-06-04T11:27:15Z,Clemens Schmid,added new option --basicFile,06,74effbee662d2e85ce694220d8aa61e0e58c2172,2024
currycarbon,2024-10-27T21:37:33Z,Clemens Schmid,some documentation for the new options,10,8da202afd5a1320bbb4d64867ae91910b94ef55d,2024
currycarbon,2024-11-18T22:02:58Z,dependabot[bot],Bump codecov/codecov-action from 4 to 5,11,872b1098f741f5a5fef843638c51df785f244fa9,2024
currycarbon,2025-02-18T13:42:10Z,Clemens Schmid,included locally build documentation to upload,02,f1eda24fe5588a78c47903c2d94c03e8de1c4e41,2025
currycarbon,2025-03-15T19:53:27Z,Clemens Schmid,version bump to support random-1.3.0,03,8de4f84543f619ac0ba7b3631ca2b519712dfd1d,2025
