item_name,date,author,message,month,sha,year
dendroNetwork,2022-12-28T19:22:14Z,RonaldVisser,Adding various functions,12,cc8777f5198b5e414d85a8e4e414f2bf9d6d99df,2022
dendroNetwork,2023-01-08T15:12:00Z,RonaldVisser,Various functions and edits,01,791b1e2f4b503e7f26e9729f8beb596a339f3bdf,2023
dendroNetwork,2023-03-08T07:19:33Z,RonaldVisser,edits,03,75734593bd23d83aa8f33a92b25d10a8a539c5ae,2023
dendroNetwork,2023-05-26T17:44:00Z,RonaldVisser,corrections:,05,4288cb67a055df474df325a1600ce6a52060f064,2023
dendroNetwork,2023-06-30T12:35:07Z,RonaldVisser,paper,06,1bc0f66699617a1be4d5686667b074f165f004ec,2023
dendroNetwork,2023-07-10T15:12:48Z,RonaldVisser,update paper,07,1a6a6945fc7f181b36fab0bb148709ef2d863b80,2023
dendroNetwork,2023-12-11T18:37:08Z,RonaldVisser,Update README.Rmd,12,bc624d54780ec4b4276ca2427f5b55a3be55694a,2023
dendroNetwork,2024-01-23T19:03:30Z,RonaldVisser,minor corrections,01,08e498f2308b826065b0dd43fdcddf37cbe36663,2024
dendroNetwork,2024-02-22T13:26:18Z,RonaldVisser,added burnr to the packages in the network in the paper,02,7d3aabf233eb4be99341299c90451646ec45e2e9,2024
dendroNetwork,2024-03-29T18:04:24Z,RonaldVisser,Update README.md,03,8e961836704e20c423a2048aab96f1eca9757720,2024
dendroNetwork,2024-04-30T11:37:32Z,RonaldVisser,Update DESCRIPTION,04,bed615360e170b680912d1909d019c05b559aa3e,2024
dendroNetwork,2024-05-09T05:55:05Z,RonaldVisser,Update README.Rmd,05,4543d3b1b76d75aeca6aaad1338e37a963088453,2024
dendroNetwork,2025-01-13T08:25:10Z,RonaldVisser,stop gh-action,01,80d574e62ca1d0f9f167815666eac6c9febc28ef,2025
