item_name,date,author,message,month,sha,year
iDAI.field,2016-01-30T13:49:41Z,jan@jan-wieners.de,Change colour of sync button in navbar.,01,de73c999bb785c8cd2deed1ba1604897e2513fd6,2016
iDAI.field,2016-02-29T22:18:23Z,Daniel,Prevent false positive.,02,6c7e9938f5f11885d0842a7f8c6eb63ea0d224e4,2016
iDAI.field,2016-03-21T14:04:39Z,Daniel,Trigger ci success.,03,e770a5fedb9a87b0b835d9fa27afe734a6f8d078,2016
iDAI.field,2016-04-29T20:15:26Z,Daniel de Oliveira,Remove unnecessary param and rename another for show proper intent.,04,554b1e0f2bd559560cc5290a37192bbd0835633a,2016
iDAI.field,2016-05-31T19:16:59Z,Daniel Marreiros de Oliveira,Use latest library version.,05,984108f77f297e62a5ef96ec2a041bfeb4ca9793,2016
iDAI.field,2016-06-30T14:10:35Z,Thomas Kleinke,Merge remote-tracking branch 'origin/master',06,4c639fad47c2b6232ebd06bd4363d4fb589adb72,2016
iDAI.field,2016-07-29T11:29:18Z,fabianzwodrei,removes documenation on deployment for continuous integration,07,bcfbbb03050efe19c8a1e0c8a5fd0b2cfe060b4c,2016
iDAI.field,2016-08-31T15:58:35Z,Thomas Kleinke,fixed router link to overview,08,5be4add61d2e16db424adcb581a036b962bead19,2016
iDAI.field,2016-09-29T12:14:00Z,Jan G. Wieners,Style popovers (implements #3511).,09,b8a636d476a817f8fbf94141e039f19ae3cf5526,2016
iDAI.field,2016-10-31T13:19:21Z,Jan G. Wieners,Fix missing roboto fonts (closes #3663).,10,525b4ad5bdc0b30b106e02b46b0a0c868031de3d,2016
iDAI.field,2016-11-30T22:38:41Z,Daniel,Rename vars and remove deps and imports.,11,27cb8699754728a418d3eef610fe4f8bbd5d65ac,2016
iDAI.field,2016-12-09T17:20:08Z,Simon Hohl,Removed deprecated functions.,12,ed62cd270fa3e3d7ff579b236b66366af6f881a7,2016
iDAI.field,2017-01-31T14:17:11Z,Jan G. Wieners,"Use latest version of mdbootstrap, adjust styling.",01,4dcb25dc0313b92db7354cbdffdf4579b5cd6864,2017
iDAI.field,2017-02-28T18:38:41Z,Fabian,Merge branch 'master' of https://github.com/dainst/idai-field-client,02,657fd0880833584b3ae35e909d6bf1357845d104,2017
iDAI.field,2017-03-31T12:53:25Z,Sebastian Cuy,first draft of resource syncing e2e tests,03,61dcad99768181011e1a6c6d88409ee6cef7d1c6,2017
iDAI.field,2017-04-27T14:26:59Z,fabianzwodrei,adds tests for list component,04,df674e8ac689a5da8262437b0f348b72f8c2da29,2017
iDAI.field,2017-05-31T15:25:34Z,Thomas Kleinke,allow deletion of sync target address,05,6fea5ec46f84cabee603eea493013424a0eebec7,2017
iDAI.field,2017-06-30T20:27:38Z,fabianzwodrei,improves expaning mainTypes in List,06,12a838ebb5ff9c9009b1b4941dc829367abb0458,2017
iDAI.field,2017-07-31T12:40:04Z,Thomas Kleinke,use newest components,07,fd24ae590ebef18f2fb5e305c61b4e51b19b58ab,2017
iDAI.field,2017-08-31T22:39:48Z,danielmarreirosdeoliveira,improve test maintainability by using readable selectors,08,663b306526abcc72cb59295d355dd09bcc93fe4b,2017
iDAI.field,2017-09-30T18:32:26Z,daniel,remove leftovers of removed output,09,0e48072ecf76a27cebeac8ada6f42b4df8a42d3c,2017
iDAI.field,2017-10-31T19:54:50Z,daniel,add apidoc,10,ef4d43c19e06cf6395c5092b1e5ca99f070f501a,2017
iDAI.field,2017-11-30T13:13:37Z,danielmarreirosdeoliveira,Remove apidoc,11,44c03c4eb1ec997fabc05ad265d0727b2786c402,2017
iDAI.field,2017-12-18T12:42:03Z,Thomas Kleinke,don't show plus button if the row is not a part of the search result to prevent display bugs,12,23bb37c37301c2db0dcbf7c7553124d13c6909dd,2017
iDAI.field,2018-01-31T21:37:55Z,danielmarreirosdeoliveira,Fix widgets e2e,01,7ad85717e16ac3efdccac8cda5a8a9401f1ff526,2018
iDAI.field,2018-02-28T14:36:36Z,Thomas Kleinke,move interface TreeNode to matrix file,02,1fa87f007cab351e57ccbcc7cfedb9689069c0a1,2018
iDAI.field,2018-03-29T19:10:52Z,danielmarreirosdeoliveira,Remove focus,03,c874215b5e9181e53e0ae5d296a9a5a81316ad6c,2018
iDAI.field,2018-04-30T00:45:20Z,danielmarreirosdeoliveira,Implement backup,04,b39e9969337960ebe8a62ca5c8e3b67977f51dd2,2018
iDAI.field,2018-05-31T17:51:56Z,Thomas Kleinke,use newest components,05,2199931e5aec66c41cccaf41cb7d2c5b24799758,2018
iDAI.field,2018-06-30T15:08:46Z,Thomas Kleinke,adjust navigation buttons layout,06,fefb09e72ff10cb6f6ef3c2ae98c0fe3ad3d2fec,2018
iDAI.field,2018-07-31T20:01:22Z,daniel,Refactor a bit,07,592cf0d2c7c8f7b964ea1cf0fbcae1013e3b88bc,2018
iDAI.field,2018-08-31T16:21:20Z,Thomas Kleinke,edit label,08,417230dd41f07d449ab042211d23b95ef2f108d5,2018
iDAI.field,2018-09-30T12:43:43Z,Thomas Kleinke,quit loading state on save error,09,3821342246b592ec3818d26831f79b5a5c9c960a,2018
iDAI.field,2018-10-31T14:05:29Z,Thomas Kleinke,"show ""download interrupted"" icon in taskbar instead of uncaught exception message box",10,ec6780181e2d3d5f4da094d12510788b2a678d33,2018
iDAI.field,2018-11-30T23:47:36Z,danielmarreirosdeoliveira,Organize imports,11,4bcf9908151336f7b3ba696d4401a6f894325c1d,2018
iDAI.field,2018-12-28T10:57:58Z,danielmarreirosdeoliveira,Use latest components,12,c5a1d9f17b62c436bd1265644b81ab90e8e1f17f,2018
iDAI.field,2019-01-31T21:47:21Z,Thomas Kleinke,refactor DoceditLauncher code,01,698d6b39c5ef48b2d9ff682ca6d9d97b8a9c6933,2019
iDAI.field,2019-02-28T21:42:38Z,Thomas Kleinke,fix image overview e2e tests,02,a0d0054ed8ffdb75ee315ce41576b37ab1f434da,2019
iDAI.field,2019-03-26T16:49:04Z,danielmarreirosdeoliveira,Differentiate parent and child properties,03,dc753cb5a24474523e57d0d0a120350c5ea5dba3,2019
iDAI.field,2019-04-30T18:07:45Z,Thomas Kleinke,make method static,04,b290b942b1578eb8bfdd07a816874001a1d76a87,2019
iDAI.field,2019-05-29T11:06:04Z,Thomas Kleinke,improve tab manager behavior on resize,05,335370694ec058b4b6d6d7569f6058d412297ff3,2019
iDAI.field,2019-06-28T11:18:29Z,danielmarreirosdeoliveira,Show type counts on csv export,06,c04141d75d60927a03593b67aa76d2c8422877f3,2019
iDAI.field,2019-07-31T10:21:04Z,Thomas Kleinke,adjust cursor in document picker,07,9a167e46ca07ae8e78d471ca531e5cb6686a89f7,2019
iDAI.field,2019-08-28T08:48:29Z,Thomas Kleinke,shorten style definitions,08,16eaa019bc2e030eca7c0c7fa9082baf00732e19,2019
iDAI.field,2019-09-30T23:51:28Z,Daniel de Oliveira,Use latest tsfun,09,cac8d7d4a9b912289203d496248e730d205f2d6f,2019
iDAI.field,2019-10-31T15:37:21Z,Thomas Kleinke,Remove field draughtsmen from Kalapodi configuration,10,5f8d1fba2a6807a9d4b7b93f7eaf54de6e6cd8c2,2019
iDAI.field,2019-11-28T13:50:57Z,danielmarreirosdeoliveira,Unfocus e2e,11,396f7e9986123e2be0c56da8e04ee7cf849a1818,2019
iDAI.field,2019-12-31T21:51:31Z,danielmarreirosdeoliveira,Merge remote-tracking branch 'origin/2.14.x',12,fc81af6126142a4f6ba22d06389e7e646a02c02f,2019
iDAI.field,2020-01-31T11:49:12Z,Thomas Kleinke,Always show info buttons in type list,01,c4c1cf57ebe7c49bda65ae85a7c18d4f2a91acfb,2020
iDAI.field,2020-02-29T15:25:08Z,danielmarreirosdeoliveira,Simplify,02,bdc77040c5c9a9d5a3d5d1a869097023a82b0b64,2020
