item_name,date,author,message,month,sha,year
iconr,2020-08-25T10:44:45Z,zoometh,Add files via upload,08,6f5e39d4b647152c4df3c16638c965869674a81a,2020
iconr,2020-09-29T20:46:59Z,zoometh,Update decorr.Rmd,09,f558ba7e01d918037be360dc5b8d653cbc15fd5e,2020
iconr,2020-10-15T13:40:18Z,zoometh,Rename decorr.html to index.html,10,b02f847907cbbd61c76be3d7b98e7b46d0db80a1,2020
iconr,2020-11-30T19:18:51Z,josempozo,Update list_compar.Rd,11,340bde68cae53b2fa6fee1c1aeec36362caeead9,2020
iconr,2020-12-28T11:55:53Z,Shennan,warning are errors,12,a80bb79af44ea003e12ca7a348b07ea7e5b5f6f5,2020
iconr,2021-01-31T09:37:04Z,Shennan,index,01,13c569df913820759a51f27376d8cbb6d9e0917f,2021
iconr,2021-02-22T12:41:35Z,Shennan,TODO,02,d298b19b8405b0d1b4ffd22e5a70dd3b337a5c83,2021
iconr,2021-03-29T17:24:27Z,Thomas Huet,Add files via upload,03,8d18cefdf46d596fa20c5adb4f7220e8590a2ef4,2021
iconr,2021-04-20T05:05:58Z,Shennan,JOSS,04,c98d1c98537d15213aca25a7c5484b3eecbca205,2021
iconr,2021-05-17T20:03:05Z,Thomas Huet,Update README.md,05,584f812af24b9a0a129957b5ea1f56de04215662,2021
iconr,2021-06-11T09:06:23Z,zoometh,readme,06,5b9f728286c3c78b871593f55ffce4e2ffa878fd,2021
iconr,2021-08-31T21:53:16Z,zoometh,add @export,08,e99f7ca01f87f5f645c74fff0e00f31b2ab61494,2021
iconr,2021-09-24T08:08:51Z,zoometh,readme,09,c9b77799ec4158ffab5594062c87c963479dd77e,2021
iconr,2021-10-16T05:41:41Z,zoometh,.gitignore,10,6c58bdcbe0ab78e6a48863fc35d664fbc0680984,2021
iconr,2022-05-25T16:21:18Z,zoometh,readme,05,c76337d42498dc9abcbdd311d403bf165b6c88ac,2022
iconr,2022-08-21T21:06:17Z,zoometh,doc to roxygene,08,7e1bffbdb990eeb5a44a447a331b7498f1541a06,2022
iconr,2022-09-17T15:36:47Z,zoometh,gitignore and Rbuildignore before adding the iconr folder from my Asus computer,09,f73d89451d7ebba1646bb1794960c09efec93903,2022
iconr,2022-11-28T15:08:30Z,zoometh,varia,11,1d7365070d63613ad78d013dc8aa00b3e045839c,2022
iconr,2022-12-21T22:29:49Z,zoometh,iconr dev workflow,12,c22c29eb1b093aebab36d00b6daed4b3b825d249,2022
iconr,2023-10-31T09:08:06Z,zoometh,iconr,10,59925c9fc4fc76d30e82f7fb4caee68851a30c8b,2023
iconr,2023-11-05T18:13:42Z,zoometh,varia,11,64d97cc73ebb3d2b446edd39248fb95a4f95ef3e,2023
