item_name,date,author,message,month,sha,year
maya-calendar,2018-08-31T13:11:39Z,5ManikG7,Minor changes in function names,08,385b672266928aa7f6fc6db922a9cac76747290a,2018
maya-calendar,2018-09-20T12:12:52Z,5ManikG7,Change version,09,428879f2247276d003b9d97d300ea36819ff1107,2018
maya-calendar,2019-08-16T14:03:18Z,Jonas Gregorio,Merge pull request #2 from jgregoriods/dependabot/npm_and_yarn/webpack-dev-server-3.1.11,08,bc6547c32504256662fb89227a0bdc314bc8409c,2019
maya-calendar,2020-06-06T12:10:37Z,dependabot[bot],Bump websocket-extensions from 0.1.3 to 0.1.4,06,0809d942e186b0a5d3e9a56b72a65b39eb40723c,2020
maya-calendar,2020-08-07T12:40:25Z,Jonas Gregorio,Update README.md,08,b3500b5f8b64fe1ee6ad0de461b891d01f7478eb,2020
maya-calendar,2021-03-30T04:32:20Z,dependabot[bot],Bump y18n from 4.0.0 to 4.0.1,03,f2e550807afec8eee4c57145b27275b660f641b4,2021
maya-calendar,2021-04-19T17:35:46Z,dependabot[bot],Bump ssri from 6.0.1 to 6.0.2,04,a5ffc73324141812845f363c4295d93b919bb927,2021
maya-calendar,2021-05-27T02:40:13Z,dependabot[bot],Bump dns-packet from 1.3.1 to 1.3.4,05,1dc17e913c070804a1a63f11104d5e2da4835164,2021
maya-calendar,2021-10-05T19:41:17Z,dependabot[bot],Bump url-parse from 1.4.7 to 1.5.3,10,dade3537a991b580146165171acce774fbdfb0b1,2021
maya-calendar,2021-11-14T19:06:39Z,Jonas Gregorio de Souza,Merge pull request #3 from jgregoriods/dependabot/npm_and_yarn/websocket-extensions-0.1.4,11,2c68d1eb689445427b93cc47cee5b815cd406b96,2021
