item_name,date,author,message,month,sha,year
neolithicR,2015-05-25T10:43:26Z,nevrome,Added a barplot of the period distribution of currently shown dates (radiocarbon3).,05,08ebff9969d698137da43402d847f89fd23a131d,2015
neolithicR,2015-10-23T16:41:11Z,nevrome,"New features for radiocarbon4: Download button, list of filter criteria, better background map.",10,28c49c680d0bb6c01171141fdeaac51dba4100d0,2015
neolithicR,2015-12-16T23:04:02Z,nevrome,Changed URL for WMS-Tiles to secure connection to avoid server warnings,12,f98200b57c5b1ecb0516372159f45511bf60882a,2015
neolithicR,2016-01-16T18:24:15Z,nevrome,"Added a ""select all dates"" button",01,a019a65e3dc72b93f22fbd66bef22bf4c6963fa5,2016
neolithicR,2016-04-29T22:03:31Z,nevrome,Fixing plots in radiocarbon5,04,9535e45696e8d0f6e59b213d4f7d12fe7a6a3a73,2016
neolithicR,2016-05-31T17:00:19Z,nevrome,first draft of a script that calls all the necessary tools to do the setup of the internal database,05,5d548ad14b4db8f8b90246dbe20e5af2783164b3,2016
neolithicR,2016-06-13T19:40:42Z,nevrome,added a lab number search field for radiocarbon5,06,0c65f02fe8f76bff61d476e9af13044926b01aa3,2016
neolithicR,2016-08-29T17:57:15Z,Dirk Seidensticker,updated datasources as CARD was renamed aDRAC to resolve the conflicting naming with the Canadian Archaeological Radiocarbon Database (CARD) http://www.canadianarchaeology.ca/,08,016f9179b2db851e7300a5e5beb7fa5f0af09131,2016
neolithicR,2016-10-31T01:02:55Z,nevrome,further speed improvements,10,ce1a6b07425eff39315735104584ab631193204d,2016
neolithicR,2017-01-29T21:45:06Z,nevrome,improved README,01,50794d39143d58b3be2bf105dcd7ec74cb2119ee,2017
neolithicR,2017-02-18T12:29:57Z,nevrome,update of README.md,02,b93912c111000f7019a6bfeaa51b553d68b64e85,2017
neolithicR,2017-09-19T18:51:00Z,nevrome,playing around with automatic tile source example construction,09,97adfa0459768490067250780d6fb65230325cff,2017
neolithicR,2017-11-15T19:59:59Z,nevrome,"solving the ""first start"" problem",11,b5f5b2d2d03f9c336d03f1a8222b59e38c33f321,2017
neolithicR,2017-12-10T22:25:26Z,nevrome,accidentally left in some test code,12,154efa0000cfbea8c3dd5af820d0528313cf18a8,2017
neolithicR,2018-03-13T14:50:39Z,nevrome,better shields.io badges for the README,03,da573f23a6e78f1fc077ae2ffc733c9e6c8dd577,2018
neolithicR,2018-05-13T20:52:30Z,Clemens Schmid,you have to cite the source databases!,05,5fbc64b9b32f33bfb95a03f2741e7182a3607831,2018
neolithicR,2019-11-18T08:37:29Z,Clemens Schmid,Update README.md,11,4a3af9cb8ed421294b11b76c0698ee64dc704f19,2019
