item_name,date,author,message,month,sha,year
seriation,2015-10-11T04:20:57Z,mhahsler,Initial commit.,10,a36a285c707b80b618889af4442a42568149419f,2015
seriation,2015-12-22T20:17:39Z,mhahsler,fixed RGAR.,12,461d20d2ace77ea35d21e0311bd65d45f929a4ff,2015
seriation,2016-01-25T21:02:26Z,mhahsler,changed noise definition.,01,d5cb7681ccdbbec6dd1cc90bdbb35b35063a4b58,2016
seriation,2016-02-22T17:45:14Z,mhahsler,New CRAN release.,02,abce86de96b5133dba65d866340b5ea86940eb76,2016
seriation,2016-03-15T14:07:01Z,mhahsler,Start new development release.,03,2136e53b74ba46785268eb97b6af504701733d3a,2016
seriation,2016-05-26T20:14:59Z,mhahsler,bugfix for tsp control arguments.,05,47898faeb54c7dc99ef6c48eabb0d7d2ebfe1fae,2016
seriation,2016-06-01T15:47:34Z,mhahsler,TYPO.,06,4b80d26f0d585097ebb85e75e8733bdf53866aeb,2016
seriation,2016-07-30T21:55:26Z,mhahsler,updated reference.,07,b136fb345d4439f3176e3b688638bb4080ce7bf7,2016
seriation,2016-08-20T22:07:35Z,mhahsler,Added documentation and simplified code.,08,7151603271424bd27ed4d91847d9e4524138a92f,2016
seriation,2016-09-13T22:05:42Z,mhahsler,pimage now supresses the color key for logical matrices and checks for all NAs and infinite entries.,09,5eeb88ed681633cd7656307ad564372128318a29,2016
seriation,2016-10-25T03:39:30Z,mhahsler,Added and updated references.,10,22b73ddf1bdb08f945784936fba4749a35a77ba8,2016
seriation,2017-02-28T17:29:43Z,mhahsler,Added some methods and criteria to vignette. Corrected that ARSA optimizes for LS.,02,98f3e275099a0f84457163bb5f7006b31de56706,2017
seriation,2017-03-30T18:39:16Z,mhahsler,typo.,03,7795bcaa8a7567fd7351e22ffcb29f7ee68e7b5c,2017
seriation,2017-04-03T22:42:09Z,mhahsler,Added seriation method SA.,04,59e74a42a149c7f72e236c53a42fb10604bb2f20,2017
seriation,2017-05-08T15:20:27Z,mhahsler,Release.,05,92b6c3be877499380996df5e37dee6f4952111f5,2017
seriation,2017-06-26T21:13:02Z,mhahsler,"seriation method ""BEA"" is now not longer masked by ""BEA_TSP"". Also the FORTRAN calls now work.",06,c870e1493b32e962211ff3ab5d9f6d55add7f5b2,2017
seriation,2017-07-26T06:20:50Z,mhahsler,Updated news for bug fix.,07,2e927702ce6b8dcdbbda40e31e79e5955d64b525,2017
seriation,2018-02-05T23:05:00Z,mhahsler,New release.,02,c2a0c95f9f44aae8e271ad4f04049f7405443baf,2018
seriation,2018-10-24T19:35:10Z,Michael Hahsler,bertinplot: panel colors can now be specified in highlight and as shading.function.,10,00259d3e41335b5697dfadaedd9884efe17a0b9d,2018
