item_name,date,author,message,month,sha,year
skyscapeR,2017-09-30T22:25:58Z,f-silva-archaeo,Merge branch 'master' of github.com:f-silva-archaeo/skyscapeR,09,08cd6ab928bb5c93a86219b6e24f5ab686242b53,2017
skyscapeR,2017-10-24T07:01:01Z,f-silva-archaeo,v0.2.3.9000:,10,b2cd5b94e8e920400c36018c943dd952ec0b53e3,2017
skyscapeR,2017-12-11T15:37:35Z,f-silva-archaeo,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,12,1b9034905803c427aa3b70d980bcbc59f5d01a97,2017
skyscapeR,2018-09-10T14:23:29Z,Fabio Silva,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,09,0d2c8f0db15151ee183e94609f503858beca1db6,2018
skyscapeR,2018-10-27T14:19:22Z,Fabio Silva,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,10,b02067451d8e6aebf8edd12dd2a82723f39af00f,2018
skyscapeR,2018-11-14T16:30:38Z,Fabio Silva,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,11,8164f6b824e2002744e2f7fdb724e16a6bebad63,2018
skyscapeR,2018-12-13T18:08:22Z,Fabio Silva,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,12,71d6463fe2272ae5cef0ded46adc7a72e03191ef,2018
skyscapeR,2019-01-16T14:23:57Z,Fabio Silva,Update README.md,01,a8b6e0eaaf0066bf083281af647d446fcb72842a,2019
skyscapeR,2019-02-04T14:53:20Z,f-silva-archaeo,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,02,a5f571079db9f3a2ed7854089d2d44af12c9a13e,2019
skyscapeR,2019-04-21T09:38:29Z,f-silva-archaeo,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,04,1ddc0ff56551b7bd5e3ee597d833fe0239ccc29e,2019
skyscapeR,2019-05-27T10:41:30Z,f-silva-archaeo,v0.3.4.9000 changelog:,05,9d66377253cf0a201c56f103874e53b0c3b3494b,2019
skyscapeR,2019-06-24T10:11:04Z,f-silva-archaeo,Changes to plotBars,06,3c8caf9a3e2122854ee2cc44e0e958de8e06a584,2019
skyscapeR,2019-07-29T12:45:22Z,f-silva-archaeo,Merge branch 'master' of https://github.com/f-silva-archaeo/skyscapeR,07,5f9edd9f6187b0ac8b1ffe70c5eff2aa4b2b05ea,2019
skyscapeR,2020-02-26T13:32:03Z,f-silva-archaeo,massive update,02,c116c20688ed22ebf61383ca68c438f6dd2e60cc,2020
skyscapeR,2021-10-28T19:08:18Z,f-silva-archaeo,v1.0.0 CRAN Release,10,20fc688c41ee73454c3b7f8dfbe2ae998270edc1,2021
skyscapeR,2021-11-05T17:34:48Z,f-silva-archaeo,v1.1 changes,08,c03aa4a657045c2c4864a92f57ed481c5688889c,2022
skyscapeR,2023-02-14T14:02:52Z,Fabio Parracho Silva,v1.1-90214,02,8a6a68b0dfa3381a41a49a5716afa69f3c71c76e,2023
skyscapeR,2023-02-16T15:19:57Z,Fabio Parracho Silva,v1.1-90216:,03,eb5e973d9e6a37c9187c296c2029368bb88963fc,2023
skyscapeR,2023-05-28T16:59:52Z,Fabio Parracho Silva,v1.1-90528 changes:,06,204beb47d0c1b4a9cf95d0b5bcea952322bb9cff,2023
skyscapeR,2023-09-23T16:42:21Z,Fabio Parracho Silva,v1.1-90923 changes:,09,189af0bf23361f844b882d2e03aece07959231e6,2023
skyscapeR,2024-06-19T14:14:10Z,Fabio Silva,v1.1 June 2024,06,f8054679b497e21eff9984c44aa3046385286224,2024
skyscapeR,2024-09-25T15:24:59Z,Fabio Silva,25 Sep 2024 changelog,09,f5754010ceef963d4984875cd1603d030a6439a9,2024
